,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
38,DALRUS. Mantab buahnya,Ugyj96WDRoi10WTSFiR4AaABAg,http://www.youtube.com/channel/UCuocQFUGZFIWQxjkc5J4WIw,KeBuN TiN / FIGS NairA,1,0,2021-10-28 03:55:24+00:00,ZVsPg7mFSJY,1,Buah Kecil yang Manis - Tin Dalmatie,2021-10-28
39,wkwkwkwk mangat mang,UgzGzM2CdZvA3Mks3f54AaABAg,http://www.youtube.com/channel/UCGfMPj7qH0mMnWqL41zouGw,Tri Nurhadi,0,0,2021-10-25 12:46:40+00:00,MqpduufocZ0,0,JANGAN PERNAH LAKUIN KESALAHAN FATAL INI !!,2021-10-25
40,Mirip mangga miyazaki ya om..😊,UgxVEoHHr1s22oWy7fd4AaABAg,http://www.youtube.com/channel/UC5USXB0D8UbHxfSoC_e1mzg,Jalan desa,1,0,2021-10-25 10:12:24+00:00,RrOt0t8j5zo,1,Mangga yang Paling Harum - Mangga Jin Xing.,2021-10-25
41,Berapa harga satu pohonnya bang jeruk santang madu itu,UgzA-cnekeAaFut_3-V4AaABAg,http://www.youtube.com/channel/UCcRpwqwYXqetHLzQQj0_PaQ,Rizal Kurnia,1,0,2021-10-24 05:36:24+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-10-24
42,Wow muantap ini bang,Ugyaw-Ay2iBeJ_vJdFZ4AaABAg,http://www.youtube.com/channel/UCp_3es2hf6HgIPD3YqVpAeA,Hobbyku Bisnisku,0,0,2021-10-21 10:23:01+00:00,R9YzqjX-i0A,0,mamey sapote sawo jumbo -buah langka yang banyak dicari,2021-10-21
43,"mau nanya bang,
1. apakah rasa sama antara santang madu orange dengan santang madu hijau ini?
2. apakah bibit santang madu hijau ini bisa dikirim ke kalimantan?",UgwhToJERdqlRXb4xEV4AaABAg,http://www.youtube.com/channel/UC9T65QN4G8jVxoPVSK_HIBw,Ikhsan Setiawan,1,0,2021-10-19 21:27:34+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-10-19
44,Ini kebon dimana mas ? Kepengin beli pohon alpokadnya itu,Ugx3pVYdceHoW1tFuAN4AaABAg,http://www.youtube.com/channel/UC_6CGs1CFMGD1eh07kpChbg,Lim Yanti,2,0,2021-10-19 12:53:21+00:00,R9YzqjX-i0A,2,mamey sapote sawo jumbo -buah langka yang banyak dicari,2021-10-19
45,Jual bibitnya gak mas?,UgwGWXiyK5DMU9jgpnV4AaABAg,http://www.youtube.com/channel/UCgvYAwpNFjxHTMA1PzY2Afg,Omah Kenewae,1,0,2021-10-19 02:32:47+00:00,RrOt0t8j5zo,1,Mangga yang Paling Harum - Mangga Jin Xing.,2021-10-19
46,DITUNGGU KONTEN SELANJUTNYA KANGz❤️❤️,UgzaTkxzelgC10Hd7UF4AaABAg,http://www.youtube.com/channel/UC9Y4CwW7QOAvAqZ1bSOEe0g,Fathimah Azzahra,1,0,2021-10-19 02:18:08+00:00,RrOt0t8j5zo,1,Mangga yang Paling Harum - Mangga Jin Xing.,2021-10-19
47,Saya yg pake kaos hujau...😅😅😅😅,UgyA3CF9hUG2yMd1oZ54AaABAg,http://www.youtube.com/channel/UCJEZukF2QA119Uk7cvOWNnQ,Siska Nuha,1,0,2021-10-18 13:11:25+00:00,z6jIIrKKWwI,1,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-10-18
48,Salam dari kediri mas Salim...,UgwXKnAYg0kmaUfcQb14AaABAg,http://www.youtube.com/channel/UCJEZukF2QA119Uk7cvOWNnQ,Siska Nuha,2,0,2021-10-18 13:09:51+00:00,z6jIIrKKWwI,2,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-10-18
49,Multi rasa👍,UgwBzVqZ9Nz-ihAlCrt4AaABAg,http://www.youtube.com/channel/UCoBwJJrAqErlBHHnX86_x6g,MULAMBAR sulung,0,0,2021-10-18 11:45:45+00:00,R9YzqjX-i0A,0,mamey sapote sawo jumbo -buah langka yang banyak dicari,2021-10-18
