,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
69,apa bisa di tanam di dataran rendah mas?,Ugxo4y7GXj3iCiAgG1d4AaABAg,http://www.youtube.com/channel/UCzB9uSF1E3qPfA0iBjUoWYg,muhammad nurhadi,1,0,2021-08-17 12:07:11+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-08-17
70,"Sering up review2 mas, pohon sy uda sebesar itu tp blm buah, krn banyak cabang air ternyata, setelah sy pangkas, sebaiknya pupuk apa ya npk atau langsung kno3 ? Tolong di jawab, makasih",UgykGH1Gl7KnCW2mupx4AaABAg,http://www.youtube.com/channel/UCXd5xLWrm8aiRKdD-tTNZ2g,Krida Cooking,1,0,2021-08-16 14:26:52+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-08-16
71,kang bikin review pohon jeruk bali dong,Ugy-mGhgAgEWd3hSeSt4AaABAg,http://www.youtube.com/channel/UCVyJdBsKPhQgMWEXmcDAwyA,Tri Nurhadi,1,0,2021-08-04 03:04:56+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-08-04
72,Semangaaaaat... BARAKALLAH 👍,Ugxng-JinfE6iGDy8FV4AaABAg,http://www.youtube.com/channel/UCSQ5QDkAdO9onbeo--CHXjg,bety nurbaity,1,0,2021-07-22 12:30:18+00:00,z6jIIrKKWwI,1,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-07-22
73,"Masya Allah...
Keren mas bro",UgwWU97uJ6WA1p84BzZ4AaABAg,http://www.youtube.com/channel/UCJy2yyoCecfDlXpueodWE3g,Khonsa Ku,1,0,2021-07-21 07:39:54+00:00,z6jIIrKKWwI,1,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-07-21
74,Mantaapp 👍🏻,UgwKtDGmRgwOulIPp5J4AaABAg,http://www.youtube.com/channel/UCqg5Bg788s5UY4hy68UkcGA,Said Madany,0,0,2021-07-20 16:48:46+00:00,z6jIIrKKWwI,0,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-07-20
75,Seneng banget mang liatnya :),UgzdZK2BxBYcUoYf27V4AaABAg,http://www.youtube.com/channel/UCCu_l08HeJRxdXz_SpGeoKQ,Rian Pahril Septian,0,0,2021-07-20 07:40:21+00:00,z6jIIrKKWwI,0,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-07-20
76,Motivasi buat yg nonton 🤗,UgzV415HpQ2ei1wIRnZ4AaABAg,http://www.youtube.com/channel/UCMuATxoH5SzyQS4MIPdidWQ,Megah Soraya Rowa,0,0,2021-07-20 05:57:09+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-07-20
77,Apakah jeruk sambal ..pohon.a berduri mas,UgzFwxFca94CJBjlp_t4AaABAg,http://www.youtube.com/channel/UCT4AVyhAJtcGC5-QsBVCcGw,Game play,1,0,2021-07-17 16:44:32+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-07-17
78,Apa kah jeruk santang matu batang.a ad duri.a mas....,Ugw34w2XdP-Am6vfuxx4AaABAg,http://www.youtube.com/channel/UCT4AVyhAJtcGC5-QsBVCcGw,Game play,2,0,2021-07-17 16:43:25+00:00,lQPtUq6xGXY,2,Jeruk yang Paling Manis - Santang  Madu?,2021-07-17
79,"Akhirnya upload juga....

Sering upload kang",Ugzr8euhD9DJr4fkVNB4AaABAg,http://www.youtube.com/channel/UCJy2yyoCecfDlXpueodWE3g,Khonsa Ku,1,0,2021-07-06 08:12:58+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-07-06
80,Salfok sama ayamnya. Next video tolong hadirkan ayam 0:20. Keep it grow kang bibits ✨,UgwQUH3gW_3fFx0SvsB4AaABAg,http://www.youtube.com/channel/UCTueZb8D3xqSTJeuMOkMOtg,Rafika Larasati,0,0,2021-03-31 13:45:55+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-03-31
81,🔥🔥🔥,UgwICdt6TzSoMno_TjF4AaABAg,http://www.youtube.com/channel/UCwMk3SN9TNhwjBULBkIhZMw,Yuniar Arya,0,0,2021-03-29 07:42:08+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-03-29
82,Great introduction video! Keep it up Kang Bibits!,UgxbOJ8i9BNJutpZO854AaABAg,http://www.youtube.com/channel/UCl0VlE6lG-U04a2kCQ8lZqg,Khaulah Naadiya,0,1,2021-02-25 12:16:35+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-02-25
83,Gambarnya bagus 👍👍,Ugx812Oj5GhcP8y5qbp4AaABAg,http://www.youtube.com/channel/UC3zNDby-iY2jfDUTYRcOuPw,Braven Denim,0,0,2021-02-25 01:00:45+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-02-25
84,Kaya yang sedih musiknya bang,UgxffI8dPZEJJuOHYzd4AaABAg,http://www.youtube.com/channel/UC3zNDby-iY2jfDUTYRcOuPw,Braven Denim,0,0,2021-02-25 00:59:49+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-02-25
85,Ditunggu vidio2 lainnya,UgzcaMc90S_jf1r1ktF4AaABAg,http://www.youtube.com/channel/UCJy2yyoCecfDlXpueodWE3g,Khonsa Ku,0,0,2021-02-25 00:28:57+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-02-25
86,muaantull,UgxQNepzmqTcXBx7Fn54AaABAg,http://www.youtube.com/channel/UC73Xxty8_tmzxD82yPyDEqg,Urwah Abdurrahman,1,0,2021-02-24 14:06:16+00:00,kr0RQ9UVC_8,1,Kehidupan Seorang Petani Bibit Buah,2021-02-24
87,"Wih keren banget filmnya , lanjut bosku 👍👍👍",Ugx_9lx_kQjw4IxJxhZ4AaABAg,http://www.youtube.com/channel/UCSVRkeOrx-DJOm5tCYY012g,Achmad Ahdim Darojatun,1,0,2021-02-24 13:45:07+00:00,kr0RQ9UVC_8,1,Kehidupan Seorang Petani Bibit Buah,2021-02-24
